Date,Open,High,Low,Close,Adj_Close,Volume,Coin_name
2022-10-19,10.13,10.13,10.13,10.13,10.13,0,Tron
2022-10-20,10.13,10.13,10.13,10.13,10.13,0,Tron
2022-10-21,10.13,10.13,10.13,10.13,10.13,600,Tron
2022-10-24,10.16,10.23,10.16,10.163,10.163,43000,Tron
2022-10-25,10.15,10.15,10.15,10.15,10.15,3600,Tron
2022-10-26,10.16,10.16,10.15,10.15,10.15,193200,Tron
2022-10-27,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-10-28,10.15,10.15,10.15,10.15,10.15,92000,Tron
2022-10-31,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-01,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-02,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-03,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-04,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-07,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-08,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-09,10.15,10.15,10.15,10.15,10.15,0,Tron
2022-11-10,10.16,10.16,10.16,10.16,10.16,101200,Tron
2022-11-11,10.17,10.17,10.17,10.17,10.17,1000,Tron
2022-11-14,10.17,10.17,10.17,10.17,10.17,100,Tron
2022-11-15,10.17,10.17,10.17,10.17,10.17,100,Tron
2022-11-16,10.17,10.17,10.17,10.17,10.17,0,Tron
2022-11-17,10.17,10.17,10.17,10.17,10.17,0,Tron
2022-11-18,10.17,10.17,10.17,10.17,10.17,0,Tron
2022-11-21,10.17,10.17,10.17,10.17,10.17,100,Tron
2022-11-22,10.18,10.185,10.18,10.185,10.185,104700,Tron
2022-11-23,10.18,10.18,10.18,10.18,10.18,2100,Tron
2022-11-25,10.18,10.18,10.18,10.18,10.18,100,Tron
2022-11-28,10.18,10.18,10.18,10.18,10.18,0,Tron
2022-11-29,10.18,10.18,10.18,10.18,10.18,0,Tron
2022-11-30,10.18,10.18,10.18,10.18,10.18,0,Tron
2022-12-01,10.19,10.19,10.19,10.19,10.19,1000,Tron
2022-12-02,10.19,10.19,10.19,10.19,10.19,0,Tron
2022-12-05,10.5,10.5,10.225,10.28,10.28,600,Tron
2022-12-06,10.28,10.28,10.28,10.28,10.28,0,Tron
2022-12-07,10.8,10.8,10.8,10.8,10.8,200,Tron
2022-12-08,10.8,10.8,10.8,10.8,10.8,0,Tron
2022-12-09,10.49,10.49,10.49,10.49,10.49,400,Tron
2022-12-12,10.49,10.49,10.49,10.49,10.49,0,Tron
